feature,importance
numeric__number_inpatient,0.18708511861384922
numeric__prior_inpatient_visit,0.1581569547071174
numeric__total_prior_visits,0.14926906852326424
numeric__age_numeric,0.04638235525144081
numeric__number_emergency,0.04112413751269245
numeric__number_outpatient,0.02094606946385009
numeric__diagnosis_category_count,0.01193920480047166
categorical__diag_1_category_Symptoms/Signs,0.011519783145594159
categorical__medical_specialty_Cardiology,0.011127829890591455
categorical__payer_code_Unknown,0.010913353408003954
categorical__diag_1_category_Circulatory,0.01037972476936351
categorical__medical_specialty_Unknown,0.008141847845890718
categorical__payer_code_MC,0.008137789945315324
categorical__diag_3_category_Unknown,0.00794327986134808
categorical__admission_source_Emergency Room,0.007859875629922486
categorical__diag_1_category_Endocrine/Diabetes,0.00782601839715215
categorical__gender_Male,0.007529247978228795
numeric__diabetes_diagnosis,0.0073827419089748944
categorical__gender_Female,0.00728021328594064
categorical__diag_3_category_Endocrine/Diabetes,0.007197463219544084
categorical__admission_type_Emergency,0.0068913437206210215
categorical__diag_3_category_Circulatory,0.006671223447714311
categorical__race_Caucasian,0.006634592643194295
categorical__admission_type_Urgent,0.006612684000295624
categorical__diag_2_category_Circulatory,0.006579324705322807
categorical__admission_type_Elective,0.006303294723087327
categorical__admission_source_Physician Referral,0.006213651500480672
categorical__payer_code_BC,0.006179139989894253
categorical__diag_2_category_Skin,0.006003896913986862
categorical__diag_3_category_Genitourinary,0.005520594924654875
categorical__race_AfricanAmerican,0.005326094477610206
categorical__diag_2_category_Respiratory,0.0052584091954846505
categorical__payer_code_HM,0.005245547263185194
categorical__diag_2_category_Endocrine/Diabetes,0.005000676476328875
categorical__diag_1_category_Injury/Poisoning,0.004735434797737164
categorical__medical_specialty_InternalMedicine,0.004545022869902323
categorical__diag_1_category_Respiratory,0.00431039963540883
categorical__medical_specialty_ObstetricsandGynecology,0.004108158359498659
categorical__diag_2_category_Neoplasms,0.004011145160112101
categorical__medical_specialty_Family/GeneralPractice,0.0039256749082419995
categorical__admission_source_nan,0.0038889147458617762
categorical__diag_3_category_Supplementary,0.003833533998633069
categorical__diag_2_category_Genitourinary,0.003731527401480923
categorical__payer_code_CP,0.003699014634051828
categorical__diag_3_category_Respiratory,0.00349079988190234
categorical__diag_1_category_Supplementary,0.0034240918662230536
categorical__diag_1_category_Digestive,0.0034116878064875305
categorical__medical_specialty_Emergency/Trauma,0.003408098291693583
categorical__diag_1_category_Neoplasms,0.0033662600962695473
categorical__diag_3_category_Symptoms/Signs,0.0033630158810472963
categorical__diag_3_category_Skin,0.0033500005260764503
categorical__medical_specialty_Nephrology,0.0032087247984933626
categorical__payer_code_SP,0.0032061649209786797
categorical__admission_type_Not Available,0.00319882563405389
categorical__diag_1_category_Musculoskeletal,0.0031252613952724552
categorical__race_Unknown,0.0030827563722378914
categorical__admission_source_Transfer from Hospital,0.003029204907559463
categorical__diag_3_category_Neoplasms,0.00297937168834193
categorical__payer_code_UN,0.002889884818877155
categorical__diag_2_category_Symptoms/Signs,0.002880919214453151
categorical__diag_3_category_Neurological,0.002836583575051337
categorical__admission_type_nan,0.00282698602681895
categorical__diag_2_category_Digestive,0.002794178371444529
categorical__diag_1_category_Genitourinary,0.0027365563616279036
categorical__payer_code_MD,0.002639265574322704
categorical__diag_2_category_Blood Disorders,0.002638880989951216
categorical__diag_3_category_Digestive,0.0025020568883526387
categorical__medical_specialty_Pediatrics-Endocrinology,0.002461017671200027
categorical__diag_1_category_Other,0.002446182793318048
categorical__diag_3_category_Mental Disorders,0.0023618616830810017
categorical__diag_2_category_Mental Disorders,0.0023552546736787497
categorical__payer_code_CM,0.0022977501338030523
categorical__diag_1_category_Skin,0.002174490450556342
categorical__medical_specialty_Surgery-General,0.0021475428296285717
categorical__diag_2_category_Musculoskeletal,0.0021284878951009375
categorical__diag_2_category_Injury/Poisoning,0.002052408531664023
categorical__race_Hispanic,0.0020200311616246965
categorical__diag_3_category_Injury/Poisoning,0.001960775600332655
categorical__medical_specialty_Radiologist,0.0019137534912230315
categorical__diag_2_category_Other,0.0018226254013749485
categorical__medical_specialty_Orthopedics,0.0017942937594555774
categorical__diag_1_category_Mental Disorders,0.0017767766920266702
categorical__medical_specialty_Orthopedics-Reconstructive,0.0017761277517143773
categorical__diag_3_category_Musculoskeletal,0.001770876880468495
categorical__diag_2_category_Supplementary,0.00172245735327745
categorical__diag_3_category_Other,0.0016871689143511093
categorical__diag_1_category_Pregnancy,0.0016577669214397858
categorical__diag_2_category_Neurological,0.0016425025381640462
categorical__diag_3_category_Blood Disorders,0.0016189909667327015
categorical__race_Other,0.001597194181939857
categorical__diag_2_category_Pregnancy,0.0015270077876760192
categorical__medical_specialty_Hematology/Oncology,0.0015162771162090909
categorical__diag_3_category_Pregnancy,0.0015116566856186661
categorical__payer_code_OG,0.00148237204028567
categorical__admission_source_Transfer from Another Health Care Facility,0.001369592058878791
categorical__medical_specialty_Gastroenterology,0.0013658770508642728
categorical__medical_specialty_Surgery-Cardiovascular/Thoracic,0.0013201429474603021
categorical__diag_2_category_Injury/External Cause,0.0012218150541716303
categorical__diag_3_category_Injury/External Cause,0.0011607071999266904
categorical__medical_specialty_Surgery-Neuro,0.0011383938633678515
categorical__admission_source_Transfer from Skilled Nursing Facility,0.0010582635661845637
categorical__medical_specialty_Psychiatry,0.0010175139121360774
categorical__medical_specialty_Hematology,0.0010140982713632701
categorical__diag_1_category_Blood Disorders,0.0010026195612844637
categorical__medical_specialty_Oncology,0.000995571935600269
categorical__payer_code_PO,0.0009608848473235863
categorical__admission_source_Clinic Referral,0.0008851035170598006
categorical__medical_specialty_Neurology,0.0007977234569393139
categorical__medical_specialty_Otolaryngology,0.0007958382448227932
categorical__race_Asian,0.0007760998413452927
categorical__medical_specialty_Surgery-Vascular,0.0007406489336868333
categorical__medical_specialty_Pulmonology,0.0007400252953135923
categorical__diag_1_category_Neurological,0.0006856858464352542
categorical__diag_2_category_Unknown,0.0006710219531333556
categorical__payer_code_DM,0.000642014104081531
categorical__medical_specialty_PhysicalMedicineandRehabilitation,0.0006087615836183224
categorical__admission_source_HMO Referral,0.0005285022971977895
categorical__medical_specialty_Pediatrics,0.0005066444435380423
categorical__medical_specialty_Urology,0.000494983292169378
categorical__admission_type_Not Mapped,0.00032818963789597156
categorical__medical_specialty_Pediatrics-CriticalCare,0.0002803585541168133
categorical__payer_code_WC,0.0002590585735678333
categorical__medical_specialty_Endocrinology,0.00019238402045300423
categorical__medical_specialty_Psychology,0.00017834456945642262
categorical__medical_specialty_Gynecology,0.00015910294907479228
categorical__medical_specialty_Surgery-Cardiovascular,0.00015671513854043708
categorical__admission_source_Not Mapped,0.00015043166057916585
categorical__medical_specialty_Surgery-Thoracic,0.00014536988480538143
categorical__medical_specialty_Podiatry,0.00010749713765262299
categorical__payer_code_MP,9.215379957743327e-05
categorical__payer_code_CH,7.851259325023654e-05
categorical__admission_source_Not Available,7.690917273683328e-05
